10-32 18-8 Stainless Steel Machine Screw Hex Nut	
1170710	"1/4""-20 S/S FHN"
"1/4""-20 18-8 Stainless Steel Finished Hex Nut"	
1170711	"5/16""-18S/S FHN"
"5/16""-18 18-8 Stainless Steel Finished Hex Nut"	
1170712	"3/8""-16 S/S FHN"
"3/8""-16 18-8 Stainless Steel Finished Hex Nut"	
1170730	"1/4""-28 S/S FHN"
"1/4""-28 18-8 Stainless Steel Finished Hex Nut"	
1170731	"5/16""-24 S/S FHN"
"5/16""-24 18-8 Stainless Steel Finished Hex Nut"	
1170732	"3/8""-24 S/S FHN"
"3/8""-24 18-8 Stainless Steel Finished Hex Nut"	
1170810	1/4-20 S/S HxJamNut
"1/4""-20 Grade 18-8 Stainless Steel Jam Nut"	
1170960	1/4-20 ACORN S/S
"1/4""-20 Acorn Nut 18-8 Stainless Steel"	
1171005	#6 F/W S/S .156x.312
#6 18-8 Stainless Steel Small OD Flat Washer	
1171006	#6 F/W S/S .149x.375
"#6 x 0.375"" OD Grade 18-8 Stainless Steel Large OD General Purpose Flat Washer"	
1171007	#8 F/W S/S .174x.375
#8 18-8 Stainless Steel Small OD Flat Washer	
1171009	#10 F/W S/S.218x.437
#10 18-8 Stainless Steel Small OD Flat Washer	
1171013	S/S FW 1/4x5/8 o.d.
"1/4"" 18-8 Stainless Steel Small OD Flat Washer"	
1171015	S/S FW 5/16x3/4 o.d.
"5/16"" 18-8 Stainless Steel Small OD Flat Washer"	
1171016	S/S FW 5/16x7/8 o.d.
"5/16"" x 0.875"" OD Grade 18-8 Stainless Steel Large OD General Purpose Flat Washer"	
1171017	S/S FW 3/8x7/8 o.d.
"3/8"" 18-8 Stainless Steel Small OD Flat Washer"	
1171018	"S/S FW 3/8x1"" o.d."
"3/8"" x 1.000"" OD Grade 18-8 Stainless Steel Large OD General Purpose Flat Washer"	
1171021	S/S FW 1/2x1 1/4 od
"1/2"" 18-8 Stainless Steel Small OD Flat Washer"	
1171025	S/S FW 5/8x1-1/2 od
"5/8"" 18-8 Stainless Steel Small OD Flat Washer"	
1171027	S/S FW 3/4x1-3/4 od
"3/4"" 18-8 Stainless Steel Small OD Flat Washer"	
1171055	#6MedSplit L/W SS
#6 18-8 Stainless Steel Medium Split Lock Washer	
1171057	#8MedSplit L/W SS
#8 18-8 Stainless Steel Medium Split Lock Washer	
1171059	#10MedSplit L/W SS
#10 18-8 Stainless Steel Medium Split Lock Washer	
1171063	"1/4""MedSplit L/W SS"
"1/4"" 18-8 Stainless Steel Medium Split Lock Washer"	
1171065	"5/16""MedSplit L/W SS"
"5/16"" 18-8 Stainless Steel Medium Split Lock Washer"	
1171207	#8 SS Fender Washer
"#8 x 0.750"" OD Grade 18-8 Stainless Steel Fender Washer"	
1171212	"1/4 S/S 1""ODFendWsh"
"1/4"" x 1.000"" OD Grade 18-8 Stainless Steel Fender Washer"	
1171213	1/4X1 1/4 FENDER S/S
"1/4"" x 1.250"" OD Grade 18-8 Stainless Steel Fender Washer"	
1171215	5/16X1 1/2 FENDERS/S
"5/16"" x 1.500"" OD Grade 18-8 Stainless Steel Fender Washer"	
1171259	#10 S/S ExtTooth L/W
#10 Martensitic Stainless Steel External Tooth Lock Washer	
